name;label
0000000.jpg;benign
0000002.jpg;malignant
0000006.jpg;benign
0000008.jpg;benign
0000009.jpg;benign
0000011.jpg;benign
0000012.jpg;benign
0000014.jpg;benign
0000016.jpg;benign
0000017.jpg;benign
0000018.jpg;benign
0000019.jpg;benign
0000020.jpg;benign
0000023.jpg;benign
0000026.jpg;malignant
0000027.jpg;benign
0000028.jpg;benign
0000029.jpg;malignant
0000030.jpg;malignant
0000031.jpg;malignant
0000032.jpg;benign
0000035.jpg;malignant
0000036.jpg;malignant
0000038.jpg;benign
0000041.jpg;benign
0000043.jpg;malignant
0000045.jpg;benign
0000046.jpg;malignant
0000047.jpg;benign
0000049.jpg;malignant
0000050.jpg;benign
0000051.jpg;benign
0000052.jpg;benign
0000053.jpg;benign
0000055.jpg;benign
0000056.jpg;malignant
0000059.jpg;benign
0000060.jpg;benign
0000061.jpg;benign
0000064.jpg;benign
0000065.jpg;benign
0000066.jpg;benign
0000067.jpg;benign
0000068.jpg;benign
0000069.jpg;benign
0000070.jpg;malignant
0000071.jpg;benign
0000073.jpg;benign
0000074.jpg;malignant
0000075.jpg;benign
0000076.jpg;malignant
0000077.jpg;malignant
0000078.jpg;malignant
0000082.jpg;benign
0000084.jpg;benign
0000086.jpg;benign
0000087.jpg;benign
0000088.jpg;benign
0000089.jpg;benign
0000090.jpg;benign
0000091.jpg;benign
0000094.jpg;benign
0000095.jpg;benign
0000096.jpg;benign
0000097.jpg;benign
0000098.jpg;benign
0000099.jpg;benign
0000101.jpg;benign
0000102.jpg;benign
0000104.jpg;benign
0000105.jpg;benign
0000108.jpg;benign
0000109.jpg;benign
0000111.jpg;benign
0000112.jpg;benign
0000114.jpg;benign
0000115.jpg;benign
0000116.jpg;benign
0000117.jpg;benign
0000119.jpg;benign
0000120.jpg;benign
0000123.jpg;benign
0000124.jpg;benign
0000125.jpg;benign
0000126.jpg;benign
0000128.jpg;benign
0000129.jpg;benign
0000130.jpg;benign
0000132.jpg;benign
0000134.jpg;benign
0000135.jpg;benign
0000136.jpg;benign
0000137.jpg;benign
0000138.jpg;benign
0000139.jpg;malignant
0000141.jpg;malignant
0000142.jpg;malignant
0000143.jpg;malignant
0000144.jpg;malignant
0000147.jpg;malignant
0000149.jpg;malignant
0000150.jpg;malignant
0000151.jpg;malignant
0000155.jpg;malignant
0000156.jpg;malignant
0000157.jpg;malignant
0000158.jpg;malignant
0000159.jpg;malignant
0000160.jpg;malignant
0000161.jpg;malignant
0000162.jpg;malignant
0000163.jpg;malignant
0000164.jpg;malignant
0000165.jpg;malignant
0000168.jpg;malignant
0000169.jpg;malignant
0000170.jpg;malignant
0000171.jpg;malignant
0000173.jpg;malignant
0000175.jpg;malignant
0000177.jpg;benign
0000181.jpg;benign
0000182.jpg;benign
0000183.jpg;benign
0000185.jpg;benign
0000186.jpg;benign
0000187.jpg;benign
0000190.jpg;benign
0000193.jpg;benign
0000195.jpg;benign
0000196.jpg;benign
0000197.jpg;benign
0000198.jpg;benign
0000199.jpg;benign
0000200.jpg;benign
0000203.jpg;benign
0000204.jpg;benign
0000205.jpg;benign
0000207.jpg;benign
0000208.jpg;benign
0000209.jpg;benign
0000211.jpg;benign
0000212.jpg;benign
0000213.jpg;benign
0000216.jpg;benign
0000217.jpg;benign
0000218.jpg;benign
0000222.jpg;benign
0000223.jpg;benign
0000225.jpg;benign
0000226.jpg;benign
0000227.jpg;benign
0000228.jpg;benign
0000231.jpg;benign
0000232.jpg;benign
0000233.jpg;benign
0000234.jpg;benign
0000235.jpg;benign
0000236.jpg;benign
0000238.jpg;benign
0000239.jpg;benign
0000240.jpg;benign
0000242.jpg;benign
0000243.jpg;benign
0000245.jpg;benign
